Dataset Mhist
    Number of datapoints: 2175
    Root Location: /data/datasets/mhist_dataset
    Transforms (if any): Compose(
                             ToTensor()
                             Normalize(mean=(0.5071, 0.4866, 0.4409), std=(0.267, 0.256, 0.276))
                         )

Dataset Mhist
    Number of datapoints: 977
    Root Location: /data/datasets/mhist_dataset
    Transforms (if any): Compose(
                             ToTensor()
                             Normalize(mean=(0.5071, 0.4866, 0.4409), std=(0.267, 0.256, 0.276))
                         )

********** Fine-tuning teacher model**********
Evaluation at Epoch 0/150, train_(loss, auc, f1, acc) = 0.477, 0.583, 0.297, 0.75, test_(loss, auc, f1, acc) = 0.537, 0.569, 0.266, 0.68
Evaluation at Epoch 41/150, train_(loss, auc, f1, acc) = 0.247, 0.854, 0.813, 0.90, test_(loss, auc, f1, acc) = 0.449, 0.721, 0.637, 0.76
Evaluation at Epoch 42/150, train_(loss, auc, f1, acc) = 0.247, 0.852, 0.813, 0.90, test_(loss, auc, f1, acc) = 0.454, 0.721, 0.635, 0.76
Evaluation at Epoch 43/150, train_(loss, auc, f1, acc) = 0.242, 0.867, 0.828, 0.91, test_(loss, auc, f1, acc) = 0.444, 0.727, 0.647, 0.76
Evaluation at Epoch 44/150, train_(loss, auc, f1, acc) = 0.240, 0.886, 0.843, 0.91, test_(loss, auc, f1, acc) = 0.438, 0.746, 0.677, 0.77
Evaluation at Epoch 45/150, train_(loss, auc, f1, acc) = 0.238, 0.881, 0.841, 0.91, test_(loss, auc, f1, acc) = 0.441, 0.738, 0.665, 0.77
Evaluation at Epoch 46/150, train_(loss, auc, f1, acc) = 0.236, 0.883, 0.842, 0.91, test_(loss, auc, f1, acc) = 0.440, 0.739, 0.667, 0.77
Evaluation at Epoch 47/150, train_(loss, auc, f1, acc) = 0.236, 0.864, 0.829, 0.91, test_(loss, auc, f1, acc) = 0.453, 0.721, 0.636, 0.76
Evaluation at Epoch 48/150, train_(loss, auc, f1, acc) = 0.232, 0.887, 0.849, 0.92, test_(loss, auc, f1, acc) = 0.443, 0.737, 0.665, 0.77
Evaluation at Epoch 49/150, train_(loss, auc, f1, acc) = 0.230, 0.889, 0.852, 0.92, test_(loss, auc, f1, acc) = 0.443, 0.737, 0.664, 0.77
Evaluation at Epoch 50/150, train_(loss, auc, f1, acc) = 0.230, 0.896, 0.855, 0.92, test_(loss, auc, f1, acc) = 0.441, 0.744, 0.674, 0.77
Evaluation at Epoch 51/150, train_(loss, auc, f1, acc) = 0.228, 0.878, 0.846, 0.92, test_(loss, auc, f1, acc) = 0.451, 0.722, 0.640, 0.76
Evaluation at Epoch 52/150, train_(loss, auc, f1, acc) = 0.225, 0.889, 0.853, 0.92, test_(loss, auc, f1, acc) = 0.446, 0.732, 0.657, 0.76
Evaluation at Epoch 53/150, train_(loss, auc, f1, acc) = 0.224, 0.890, 0.855, 0.92, test_(loss, auc, f1, acc) = 0.445, 0.734, 0.660, 0.76
Evaluation at Epoch 54/150, train_(loss, auc, f1, acc) = 0.222, 0.891, 0.856, 0.92, test_(loss, auc, f1, acc) = 0.447, 0.734, 0.659, 0.76
Evaluation at Epoch 55/150, train_(loss, auc, f1, acc) = 0.221, 0.893, 0.859, 0.92, test_(loss, auc, f1, acc) = 0.445, 0.737, 0.664, 0.77
Evaluation at Epoch 56/150, train_(loss, auc, f1, acc) = 0.219, 0.893, 0.860, 0.92, test_(loss, auc, f1, acc) = 0.448, 0.733, 0.657, 0.76
Evaluation at Epoch 57/150, train_(loss, auc, f1, acc) = 0.217, 0.895, 0.862, 0.92, test_(loss, auc, f1, acc) = 0.446, 0.741, 0.670, 0.77
Evaluation at Epoch 58/150, train_(loss, auc, f1, acc) = 0.216, 0.899, 0.866, 0.92, test_(loss, auc, f1, acc) = 0.447, 0.741, 0.670, 0.77
Evaluation at Epoch 59/150, train_(loss, auc, f1, acc) = 0.217, 0.913, 0.876, 0.93, test_(loss, auc, f1, acc) = 0.445, 0.744, 0.675, 0.77
Evaluation at Epoch 60/150, train_(loss, auc, f1, acc) = 0.213, 0.899, 0.870, 0.93, test_(loss, auc, f1, acc) = 0.451, 0.732, 0.656, 0.76
Evaluation at Epoch 61/150, train_(loss, auc, f1, acc) = 0.214, 0.912, 0.874, 0.93, test_(loss, auc, f1, acc) = 0.447, 0.748, 0.681, 0.77
Evaluation at Epoch 62/150, train_(loss, auc, f1, acc) = 0.210, 0.899, 0.873, 0.93, test_(loss, auc, f1, acc) = 0.456, 0.724, 0.643, 0.76
Evaluation at Epoch 63/150, train_(loss, auc, f1, acc) = 0.209, 0.900, 0.873, 0.93, test_(loss, auc, f1, acc) = 0.454, 0.729, 0.652, 0.76
Evaluation at Epoch 64/150, train_(loss, auc, f1, acc) = 0.208, 0.913, 0.881, 0.93, test_(loss, auc, f1, acc) = 0.450, 0.744, 0.674, 0.77
Evaluation at Epoch 65/150, train_(loss, auc, f1, acc) = 0.206, 0.913, 0.883, 0.93, test_(loss, auc, f1, acc) = 0.452, 0.739, 0.668, 0.77
Evaluation at Epoch 66/150, train_(loss, auc, f1, acc) = 0.205, 0.911, 0.881, 0.93, test_(loss, auc, f1, acc) = 0.453, 0.739, 0.667, 0.77
Evaluation at Epoch 67/150, train_(loss, auc, f1, acc) = 0.203, 0.903, 0.878, 0.93, test_(loss, auc, f1, acc) = 0.456, 0.732, 0.656, 0.77
Evaluation at Epoch 68/150, train_(loss, auc, f1, acc) = 0.202, 0.911, 0.885, 0.94, test_(loss, auc, f1, acc) = 0.455, 0.738, 0.665, 0.77
Evaluation at Epoch 69/150, train_(loss, auc, f1, acc) = 0.200, 0.909, 0.882, 0.93, test_(loss, auc, f1, acc) = 0.455, 0.740, 0.668, 0.77
Evaluation at Epoch 70/150, train_(loss, auc, f1, acc) = 0.203, 0.886, 0.861, 0.93, test_(loss, auc, f1, acc) = 0.472, 0.711, 0.621, 0.76
Evaluation at Epoch 71/150, train_(loss, auc, f1, acc) = 0.198, 0.903, 0.878, 0.93, test_(loss, auc, f1, acc) = 0.461, 0.728, 0.649, 0.76
Evaluation at Epoch 72/150, train_(loss, auc, f1, acc) = 0.196, 0.911, 0.886, 0.94, test_(loss, auc, f1, acc) = 0.460, 0.730, 0.654, 0.76
Evaluation at Epoch 73/150, train_(loss, auc, f1, acc) = 0.195, 0.907, 0.881, 0.93, test_(loss, auc, f1, acc) = 0.459, 0.735, 0.660, 0.77
Evaluation at Epoch 74/150, train_(loss, auc, f1, acc) = 0.194, 0.915, 0.890, 0.94, test_(loss, auc, f1, acc) = 0.460, 0.735, 0.660, 0.77
Evaluation at Epoch 75/150, train_(loss, auc, f1, acc) = 0.194, 0.913, 0.889, 0.94, test_(loss, auc, f1, acc) = 0.461, 0.734, 0.659, 0.77
Evaluation at Epoch 76/150, train_(loss, auc, f1, acc) = 0.194, 0.914, 0.889, 0.94, test_(loss, auc, f1, acc) = 0.461, 0.733, 0.658, 0.76
Evaluation at Epoch 77/150, train_(loss, auc, f1, acc) = 0.194, 0.916, 0.891, 0.94, test_(loss, auc, f1, acc) = 0.460, 0.733, 0.658, 0.76
Evaluation at Epoch 78/150, train_(loss, auc, f1, acc) = 0.193, 0.917, 0.892, 0.94, test_(loss, auc, f1, acc) = 0.460, 0.735, 0.660, 0.77
Evaluation at Epoch 79/150, train_(loss, auc, f1, acc) = 0.193, 0.916, 0.890, 0.94, test_(loss, auc, f1, acc) = 0.460, 0.734, 0.660, 0.76
Evaluation at Epoch 80/150, train_(loss, auc, f1, acc) = 0.193, 0.916, 0.891, 0.94, test_(loss, auc, f1, acc) = 0.460, 0.734, 0.659, 0.76
Evaluation at Epoch 81/150, train_(loss, auc, f1, acc) = 0.193, 0.918, 0.892, 0.94, test_(loss, auc, f1, acc) = 0.459, 0.733, 0.659, 0.76
Evaluation at Epoch 82/150, train_(loss, auc, f1, acc) = 0.193, 0.916, 0.891, 0.94, test_(loss, auc, f1, acc) = 0.460, 0.732, 0.657, 0.76
Evaluation at Epoch 83/150, train_(loss, auc, f1, acc) = 0.193, 0.916, 0.892, 0.94, test_(loss, auc, f1, acc) = 0.460, 0.734, 0.659, 0.76
Evaluation at Epoch 84/150, train_(loss, auc, f1, acc) = 0.193, 0.916, 0.890, 0.94, test_(loss, auc, f1, acc) = 0.460, 0.735, 0.661, 0.77
Evaluation at Epoch 85/150, train_(loss, auc, f1, acc) = 0.193, 0.914, 0.890, 0.94, test_(loss, auc, f1, acc) = 0.461, 0.733, 0.658, 0.77
Evaluation at Epoch 86/150, train_(loss, auc, f1, acc) = 0.192, 0.916, 0.891, 0.94, test_(loss, auc, f1, acc) = 0.460, 0.734, 0.659, 0.76
Evaluation at Epoch 87/150, train_(loss, auc, f1, acc) = 0.192, 0.916, 0.891, 0.94, test_(loss, auc, f1, acc) = 0.461, 0.734, 0.659, 0.76
Evaluation at Epoch 88/150, train_(loss, auc, f1, acc) = 0.192, 0.916, 0.891, 0.94, test_(loss, auc, f1, acc) = 0.461, 0.732, 0.657, 0.76
Evaluation at Epoch 89/150, train_(loss, auc, f1, acc) = 0.192, 0.917, 0.893, 0.94, test_(loss, auc, f1, acc) = 0.461, 0.732, 0.657, 0.76
Evaluation at Epoch 90/150, train_(loss, auc, f1, acc) = 0.192, 0.916, 0.892, 0.94, test_(loss, auc, f1, acc) = 0.461, 0.734, 0.659, 0.77
Evaluation at Epoch 91/150, train_(loss, auc, f1, acc) = 0.192, 0.917, 0.891, 0.94, test_(loss, auc, f1, acc) = 0.461, 0.734, 0.660, 0.76
Evaluation at Epoch 92/150, train_(loss, auc, f1, acc) = 0.192, 0.914, 0.890, 0.94, test_(loss, auc, f1, acc) = 0.462, 0.733, 0.658, 0.77
Evaluation at Epoch 93/150, train_(loss, auc, f1, acc) = 0.192, 0.916, 0.892, 0.94, test_(loss, auc, f1, acc) = 0.461, 0.732, 0.656, 0.76
Evaluation at Epoch 94/150, train_(loss, auc, f1, acc) = 0.191, 0.916, 0.892, 0.94, test_(loss, auc, f1, acc) = 0.461, 0.734, 0.659, 0.77
Evaluation at Epoch 95/150, train_(loss, auc, f1, acc) = 0.191, 0.917, 0.892, 0.94, test_(loss, auc, f1, acc) = 0.462, 0.733, 0.658, 0.76
Evaluation at Epoch 96/150, train_(loss, auc, f1, acc) = 0.191, 0.916, 0.892, 0.94, test_(loss, auc, f1, acc) = 0.461, 0.732, 0.656, 0.76
Evaluation at Epoch 97/150, train_(loss, auc, f1, acc) = 0.191, 0.917, 0.893, 0.94, test_(loss, auc, f1, acc) = 0.462, 0.734, 0.659, 0.77
Evaluation at Epoch 98/150, train_(loss, auc, f1, acc) = 0.191, 0.917, 0.894, 0.94, test_(loss, auc, f1, acc) = 0.462, 0.734, 0.659, 0.77
Evaluation at Epoch 99/150, train_(loss, auc, f1, acc) = 0.191, 0.916, 0.892, 0.94, test_(loss, auc, f1, acc) = 0.463, 0.732, 0.656, 0.76
Evaluation at Epoch 100/150, train_(loss, auc, f1, acc) = 0.191, 0.917, 0.894, 0.94, test_(loss, auc, f1, acc) = 0.462, 0.734, 0.659, 0.77
Evaluation at Epoch 101/150, train_(loss, auc, f1, acc) = 0.191, 0.917, 0.892, 0.94, test_(loss, auc, f1, acc) = 0.462, 0.732, 0.656, 0.76
Evaluation at Epoch 102/150, train_(loss, auc, f1, acc) = 0.190, 0.917, 0.894, 0.94, test_(loss, auc, f1, acc) = 0.462, 0.733, 0.658, 0.76
Evaluation at Epoch 103/150, train_(loss, auc, f1, acc) = 0.190, 0.918, 0.893, 0.94, test_(loss, auc, f1, acc) = 0.462, 0.732, 0.657, 0.76
Evaluation at Epoch 104/150, train_(loss, auc, f1, acc) = 0.190, 0.917, 0.893, 0.94, test_(loss, auc, f1, acc) = 0.462, 0.733, 0.658, 0.76
Evaluation at Epoch 105/150, train_(loss, auc, f1, acc) = 0.190, 0.917, 0.894, 0.94, test_(loss, auc, f1, acc) = 0.463, 0.733, 0.658, 0.76
Evaluation at Epoch 106/150, train_(loss, auc, f1, acc) = 0.190, 0.917, 0.894, 0.94, test_(loss, auc, f1, acc) = 0.463, 0.733, 0.657, 0.76
Evaluation at Epoch 107/150, train_(loss, auc, f1, acc) = 0.190, 0.918, 0.893, 0.94, test_(loss, auc, f1, acc) = 0.462, 0.732, 0.656, 0.76
Evaluation at Epoch 108/150, train_(loss, auc, f1, acc) = 0.190, 0.919, 0.894, 0.94, test_(loss, auc, f1, acc) = 0.462, 0.734, 0.660, 0.76
Evaluation at Epoch 109/150, train_(loss, auc, f1, acc) = 0.190, 0.918, 0.894, 0.94, test_(loss, auc, f1, acc) = 0.463, 0.732, 0.657, 0.76
Evaluation at Epoch 110/150, train_(loss, auc, f1, acc) = 0.189, 0.917, 0.894, 0.94, test_(loss, auc, f1, acc) = 0.463, 0.732, 0.656, 0.76
Evaluation at Epoch 111/150, train_(loss, auc, f1, acc) = 0.189, 0.917, 0.894, 0.94, test_(loss, auc, f1, acc) = 0.464, 0.731, 0.655, 0.76
Evaluation at Epoch 112/150, train_(loss, auc, f1, acc) = 0.189, 0.918, 0.894, 0.94, test_(loss, auc, f1, acc) = 0.463, 0.733, 0.658, 0.76
Evaluation at Epoch 113/150, train_(loss, auc, f1, acc) = 0.189, 0.918, 0.894, 0.94, test_(loss, auc, f1, acc) = 0.463, 0.734, 0.659, 0.76
Evaluation at Epoch 114/150, train_(loss, auc, f1, acc) = 0.189, 0.918, 0.894, 0.94, test_(loss, auc, f1, acc) = 0.463, 0.733, 0.658, 0.76
Evaluation at Epoch 115/150, train_(loss, auc, f1, acc) = 0.189, 0.917, 0.893, 0.94, test_(loss, auc, f1, acc) = 0.464, 0.731, 0.655, 0.76
Evaluation at Epoch 116/150, train_(loss, auc, f1, acc) = 0.189, 0.918, 0.894, 0.94, test_(loss, auc, f1, acc) = 0.463, 0.733, 0.658, 0.76
Evaluation at Epoch 117/150, train_(loss, auc, f1, acc) = 0.188, 0.918, 0.894, 0.94, test_(loss, auc, f1, acc) = 0.463, 0.733, 0.658, 0.76
Evaluation at Epoch 118/150, train_(loss, auc, f1, acc) = 0.188, 0.918, 0.894, 0.94, test_(loss, auc, f1, acc) = 0.463, 0.734, 0.659, 0.76
Evaluation at Epoch 119/150, train_(loss, auc, f1, acc) = 0.188, 0.918, 0.895, 0.94, test_(loss, auc, f1, acc) = 0.464, 0.733, 0.658, 0.76
Evaluation at Epoch 120/150, train_(loss, auc, f1, acc) = 0.188, 0.917, 0.894, 0.94, test_(loss, auc, f1, acc) = 0.464, 0.730, 0.653, 0.76
Evaluation at Epoch 121/150, train_(loss, auc, f1, acc) = 0.188, 0.918, 0.894, 0.94, test_(loss, auc, f1, acc) = 0.464, 0.732, 0.657, 0.76
Evaluation at Epoch 122/150, train_(loss, auc, f1, acc) = 0.188, 0.918, 0.895, 0.94, test_(loss, auc, f1, acc) = 0.464, 0.733, 0.657, 0.76
Evaluation at Epoch 123/150, train_(loss, auc, f1, acc) = 0.188, 0.918, 0.894, 0.94, test_(loss, auc, f1, acc) = 0.464, 0.734, 0.659, 0.77
Evaluation at Epoch 124/150, train_(loss, auc, f1, acc) = 0.188, 0.918, 0.895, 0.94, test_(loss, auc, f1, acc) = 0.464, 0.733, 0.657, 0.76
Evaluation at Epoch 125/150, train_(loss, auc, f1, acc) = 0.188, 0.918, 0.895, 0.94, test_(loss, auc, f1, acc) = 0.465, 0.733, 0.657, 0.76
Evaluation at Epoch 126/150, train_(loss, auc, f1, acc) = 0.187, 0.919, 0.895, 0.94, test_(loss, auc, f1, acc) = 0.464, 0.732, 0.656, 0.76
Evaluation at Epoch 127/150, train_(loss, auc, f1, acc) = 0.187, 0.921, 0.897, 0.94, test_(loss, auc, f1, acc) = 0.463, 0.733, 0.658, 0.76
Evaluation at Epoch 128/150, train_(loss, auc, f1, acc) = 0.187, 0.919, 0.895, 0.94, test_(loss, auc, f1, acc) = 0.464, 0.733, 0.658, 0.76
Evaluation at Epoch 129/150, train_(loss, auc, f1, acc) = 0.187, 0.918, 0.895, 0.94, test_(loss, auc, f1, acc) = 0.465, 0.733, 0.657, 0.76
Evaluation at Epoch 130/150, train_(loss, auc, f1, acc) = 0.187, 0.919, 0.895, 0.94, test_(loss, auc, f1, acc) = 0.464, 0.733, 0.658, 0.76
Evaluation at Epoch 131/150, train_(loss, auc, f1, acc) = 0.187, 0.919, 0.895, 0.94, test_(loss, auc, f1, acc) = 0.464, 0.734, 0.659, 0.76
Evaluation at Epoch 132/150, train_(loss, auc, f1, acc) = 0.187, 0.919, 0.895, 0.94, test_(loss, auc, f1, acc) = 0.464, 0.732, 0.657, 0.76
Evaluation at Epoch 133/150, train_(loss, auc, f1, acc) = 0.187, 0.919, 0.895, 0.94, test_(loss, auc, f1, acc) = 0.465, 0.733, 0.658, 0.76
Evaluation at Epoch 134/150, train_(loss, auc, f1, acc) = 0.186, 0.918, 0.894, 0.94, test_(loss, auc, f1, acc) = 0.465, 0.733, 0.658, 0.76
Evaluation at Epoch 135/150, train_(loss, auc, f1, acc) = 0.186, 0.919, 0.895, 0.94, test_(loss, auc, f1, acc) = 0.464, 0.733, 0.658, 0.76
Evaluation at Epoch 136/150, train_(loss, auc, f1, acc) = 0.186, 0.919, 0.895, 0.94, test_(loss, auc, f1, acc) = 0.465, 0.733, 0.658, 0.76
Evaluation at Epoch 137/150, train_(loss, auc, f1, acc) = 0.186, 0.920, 0.897, 0.94, test_(loss, auc, f1, acc) = 0.465, 0.733, 0.658, 0.76
Evaluation at Epoch 138/150, train_(loss, auc, f1, acc) = 0.186, 0.918, 0.895, 0.94, test_(loss, auc, f1, acc) = 0.466, 0.731, 0.655, 0.76
Evaluation at Epoch 139/150, train_(loss, auc, f1, acc) = 0.186, 0.919, 0.895, 0.94, test_(loss, auc, f1, acc) = 0.465, 0.734, 0.659, 0.76
Evaluation at Epoch 140/150, train_(loss, auc, f1, acc) = 0.186, 0.919, 0.896, 0.94, test_(loss, auc, f1, acc) = 0.465, 0.735, 0.660, 0.77
Evaluation at Epoch 141/150, train_(loss, auc, f1, acc) = 0.185, 0.919, 0.896, 0.94, test_(loss, auc, f1, acc) = 0.465, 0.735, 0.660, 0.77
Evaluation at Epoch 142/150, train_(loss, auc, f1, acc) = 0.185, 0.918, 0.894, 0.94, test_(loss, auc, f1, acc) = 0.466, 0.733, 0.658, 0.76
Evaluation at Epoch 143/150, train_(loss, auc, f1, acc) = 0.185, 0.923, 0.900, 0.94, test_(loss, auc, f1, acc) = 0.465, 0.734, 0.659, 0.76
Evaluation at Epoch 144/150, train_(loss, auc, f1, acc) = 0.185, 0.918, 0.895, 0.94, test_(loss, auc, f1, acc) = 0.466, 0.733, 0.658, 0.76
Evaluation at Epoch 145/150, train_(loss, auc, f1, acc) = 0.185, 0.919, 0.896, 0.94, test_(loss, auc, f1, acc) = 0.466, 0.733, 0.658, 0.76
Evaluation at Epoch 146/150, train_(loss, auc, f1, acc) = 0.185, 0.918, 0.895, 0.94, test_(loss, auc, f1, acc) = 0.467, 0.730, 0.654, 0.76
Evaluation at Epoch 147/150, train_(loss, auc, f1, acc) = 0.185, 0.919, 0.896, 0.94, test_(loss, auc, f1, acc) = 0.466, 0.735, 0.660, 0.77
Evaluation at Epoch 148/150, train_(loss, auc, f1, acc) = 0.185, 0.920, 0.897, 0.94, test_(loss, auc, f1, acc) = 0.466, 0.735, 0.660, 0.77
Evaluation at Epoch 149/150, train_(loss, auc, f1, acc) = 0.185, 0.921, 0.898, 0.94, test_(loss, auc, f1, acc) = 0.466, 0.734, 0.659, 0.76
********** Re-initialize student model**********
********** Fine-tuning student with KD, temp = 4**********
Evaluation at Epoch 0/150, train_(loss, auc, f1, acc) = 1.360, 0.646, 0.496, 0.71, test_(loss, auc, f1, acc) = 1.434, 0.646, 0.542, 0.68
Evaluation at Epoch 1/150, train_(loss, auc, f1, acc) = 1.217, 0.661, 0.520, 0.71, test_(loss, auc, f1, acc) = 1.329, 0.659, 0.565, 0.69
Evaluation at Epoch 2/150, train_(loss, auc, f1, acc) = 1.087, 0.661, 0.515, 0.73, test_(loss, auc, f1, acc) = 1.268, 0.655, 0.551, 0.69
